organom;secteur;adrenumero;adreextension;adreimmeuble;adrerue;adrecoordx;adrecoordy;longitude;latitude;rivolide;quarnom;id_sitorg;latlong;nom_specialite_principale;date_recuperation;id_projet
Ecole maternelle Duchesse Anne;1;30.0;;;;1352678.0000;7222998.0000;-1.667577362;48.11226252;RUE DE PARIS;Thabor - Saint-Hélier -  Alphonse Guérin;43;{'lon': -1.667577362, 'lat': 48.11226252};Ecole maternelle;2026-08-18;ECOLE-0036
Ecole maternelle Henri Wallon;2;2.0;;;;1353261.0000;7220587.0000;-1.657800401;48.09092995;RUE DE HONGRIE;Le Blosne;4927;{'lon': -1.657800401, 'lat': 48.09092995};Ecole maternelle;2026-08-18;ECOLE-0037
Ecole Diwan du Blosne;3;31.0;;;BOULEVARD DU PORTUGAL;1352597.0000;7219875.0000;-1.666127075;48.0841837;BOULEVARD DU PORTUGAL;Le Blosne;99;{'lon': -1.666127075, 'lat': 48.0841837};Ecole maternelle;2026-08-18;ECOLE-0038
Ecole élémentaire Torigné;2;5.0;;;;1353250.0000;7220064.0000;-1.657519334;48.08623668;CHEMIN DE TORIGNE;Le Blosne;306;{'lon': -1.657519334, 'lat': 48.08623668};Ecole élémentaire;2026-08-18;ECOLE-0039
Ecole maternelle Oscar Leroux;3;163.0;;;;1352244.0000;7220675.0000;-1.671500087;48.09117434;RUE DE CHATILLON;Sud-Gare;1247;{'lon': -1.671500087, 'lat': 48.09117434};Ecole maternelle;2026-08-18;ECOLE-0040
Ecole maternelle Villeneuve;3;38.0;;;;1351507.0000;7221561.0000;-1.682092733;48.09871979;RUE GINGUENE;Sud-Gare;4843;{'lon': -1.682092733, 'lat': 48.09871979};Ecole maternelle;2026-08-18;ECOLE-0041
Ecole maternelle Andrée Chedid;2;9.0;;;;1349522.0000;7224345.0000;-1.710987692;48.12262854;RUE DE PICARDIE;Villejean - Beauregard;70;{'lon': -1.710987692, 'lat': 48.12262854};Ecole maternelle;2026-08-18;ECOLE-0042
Ecole maternelle Pasteur;3;2.0;;;;1352267.0000;7222435.0000;-1.6737975521268929;48.11036678033076;PLACE PASTEUR;Thabor - Saint-Hélier -  Alphonse Guérin;6304;{'lon': -1.6737975521268929, 'lat': 48.11036678033076};Ecole maternelle;2026-08-18;ECOLE-0043
Ecole élémentaire Marie Pape-Carpantier;3;1.0;;;;1350628.0000;7222420.0000;-1.694582884;48.10595794;PLACE MARIE PAPE-CARPANTIER;Cleunay - Arsenal - Redon - La Courrouze;5147;{'lon': -1.694582884, 'lat': 48.10595794};Ecole élémentaire;2026-08-18;ECOLE-0044
Ecole maternelle Clôteaux;3;56.0;;;;1350594.0000;7219926.0000;-1.692992484;48.08354495;AVENUE DE BREQUIGNY;Bréquigny;543;{'lon': -1.692992484, 'lat': 48.08354495};Ecole maternelle;2026-08-18;ECOLE-0045
Ecole maternelle Colombier;3;9.0;;;;1351525.0000;7221983.0000;-1.682194722;48.10251972;RUE DU DOCTEUR FRANCIS JOLY;Centre;2852;{'lon': -1.682194722, 'lat': 48.10251972};Ecole maternelle;2026-08-18;ECOLE-0046
Ecole maternelle Sonia-Delaunay;2;6.0;;;;1350342.0000;7225132.0000;-1.700630022;48.13014801;RUE MARIE DORVAL;Villejean - Beauregard;5145;{'lon': -1.700630022, 'lat': 48.13014801};Ecole maternelle;2026-08-18;ECOLE-0047
Ecole élémentaire de l'Ille;3;24.0;;;BOULEVARD DE VERDUN;1350865.0000;7223290.0000;-1.692118814;48.11389072;BOULEVARD DE VERDUN;Bourg-L'Evêque - La Touche - Moulin du Comte;333;{'lon': -1.692118814, 'lat': 48.11389072};Ecole élémentaire;2026-08-18;ECOLE-0048
Ecole élémentaire Jules Ferry;1;21.0;;;;1352838.0000;7225940.0000;-1.66782185;48.13875905;RUE EMILE BERNARD;Maurepas - Bellangerais;4701;{'lon': -1.66782185, 'lat': 48.13875905};Ecole élémentaire;2026-08-18;ECOLE-0049
Ecole maternelle Clemenceau;3;2.0;;;;1351471.0000;7221047.0000;-1.682161421;48.0940911;RUE LOUIS ET RENE MOINE;Bréquigny;4763;{'lon': -1.682161421, 'lat': 48.0940911};Ecole maternelle;2026-08-18;ECOLE-0050
Ecole maternelle Joseph Lotte;2;1.0;;;;1351364.0000;7224306.0000;-1.686258096;48.12328565;RUE JOSEPH LOTTE;Saint-Martin;4986;{'lon': -1.686258096, 'lat': 48.12328565};Ecole maternelle;2026-08-18;ECOLE-0051
Ecole maternelle Simone Veil;3;;;;;;;;;;;6362;;Ecole maternelle;2026-08-18;ECOLE-0052
Ecole élémentaire Villeneuve;3;38.0;;;;1351444.0000;7221563.0000;-1.682939768;48.09870422;RUE GINGUENE;Sud-Gare;4842;{'lon': -1.682939768, 'lat': 48.09870422};Ecole élémentaire;2026-08-18;ECOLE-0053
Ecole maternelle Marc Sangnier;2;38.0;;;;1353367.0000;7220808.0000;-1.656558001;48.09297882;RUE MARC SANGNIER;Francisco-Ferrer - Landry - Poterie;5137;{'lon': -1.656558001, 'lat': 48.09297882};Ecole maternelle;2026-08-18;ECOLE-0054
Ecole maternelle Torigné;2;5.0;;;;1353189.0000;7220074.0000;-1.658352944;48.08628787;CHEMIN DE TORIGNE;Le Blosne;308;{'lon': -1.658352944, 'lat': 48.08628787};Ecole maternelle;2026-08-18;ECOLE-0055
Ecole élémentaire Léon Grimault;2;22.0;;;;1353945.0000;7220508.0000;-1.648571964;48.09059895;BOULEVARD LEON GRIMAULT;Le Blosne;5049;{'lon': -1.648571964, 'lat': 48.09059895};Ecole élémentaire;2026-08-18;ECOLE-0056
Ecole maternelle Marie Pape-Carpantier;3;2.0;;;;1350628.0000;7222443.0000;-1.694593138;48.10616331;PLACE MARIE PAPE-CARPANTIER;Cleunay - Arsenal - Redon - La Courrouze;5148;{'lon': -1.694593138, 'lat': 48.10616331};Ecole maternelle;2026-08-18;ECOLE-0057
Ecole élémentaire Marcel-Pagnol;1;19.0;;;;1353937.0000;7223337.0000;-1.65096319;48.11599273;RUE JEANNE JUGAN;Jeanne d'Arc - Longs Champs - Beaulieu;4981;{'lon': -1.65096319, 'lat': 48.11599273};Ecole élémentaire;2026-08-18;ECOLE-0058
Ecole maternelle Pascal Lafaye;3;13.0;;;;1352352.0000;7219863.0000;-1.669389512;48.0839377;BOULEVARD DU PORTUGAL;Le Blosne;102;{'lon': -1.669389512, 'lat': 48.0839377};Ecole maternelle;2026-08-18;ECOLE-0059
Ecole élémentaire Guillevic;2;4.0;;;;1353511.0000;7220459.0000;-1.654352708;48.08991992;CHEMIN DU LANDREL;Le Blosne;5030;{'lon': -1.654352708, 'lat': 48.08991992};Ecole élémentaire;2026-08-18;ECOLE-0060
Ecole élémentaire Louise Michel;3;15.0;;;RUE THIERS;1351405.0000;7222397.0000;-1.68414856;48.10616893;RUE THIERS;Centre;304;{'lon': -1.68414856, 'lat': 48.10616893};Ecole élémentaire;2026-08-18;ECOLE-0061
Ecole maternelle Camille-Claudel;1;102.0;;;;1352754.0000;7223980.0000;-1.667352352;48.1211198;BOULEVARD DE LA DUCHESSE ANNE;Thabor - Saint-Hélier -  Alphonse Guérin;4681;{'lon': -1.667352352, 'lat': 48.1211198};Ecole maternelle;2026-08-18;ECOLE-0062
Ecole maternelle de l'Ille;3;12.0;;;;1350833.0000;7223229.0000;-1.692498853;48.11332605;BOULEVARD DE VERDUN;Bourg-L'Evêque - La Touche - Moulin du Comte;334;{'lon': -1.692498853, 'lat': 48.11332605};Ecole maternelle;2026-08-18;ECOLE-0063
Ecole maternelle Léon Grimault;2;20.0;;;;1353882.0000;7220534.0000;-1.649440083;48.09079378;BOULEVARD LEON GRIMAULT;Le Blosne;5050;{'lon': -1.649440083, 'lat': 48.09079378};Ecole maternelle;2026-08-18;ECOLE-0064
